subject_id,sentence_n,trialtime,event
0,18,12451.4196,pressed key
0,18,13082.6364,pressed key
0,18,13526.5725,pressed key
0,18,13904.9009,pressed key
0,18,14293.7562,pressed key
0,18,14889.669,pressed key
0,18,15316.6951,pressed key
0,18,15875.0853,pressed key
0,18,16460.6113,pressed key
0,18,17048.5404,pressed key
0,18,17437.3957,pressed key
0,18,17815.7241,pressed key
0,18,18321.5793,pressed key
0,18,18788.6525,pressed key
0,18,19232.5886,pressed key
0,18,19729.0123,pressed key
0,18,20149.653,pressed key
0,18,20745.3575,pressed key
0,18,21241.7811,pressed key
0,18,21668.8072,pressed key
0,18,22419.0756,pressed key
0,18,22964.4671,pressed key
0,18,23698.7897,pressed key
0,18,24195.2134,pressed key
0,18,24759.8088,pressed key
0,19,327.8815,pressed key
0,19,886.2717,pressed key
0,19,1349.0972,pressed key
0,19,1737.9525,pressed key
0,19,2210.0703,pressed key
0,19,2677.1435,pressed key
0,19,3097.7843,pressed key
0,19,3501.4409,pressed key
0,19,3879.7693,pressed key
0,19,4306.7954,pressed key
0,19,4874.5854,pressed key
0,19,5301.6115,pressed key
0,19,5829.7877,pressed key
0,19,6218.643,pressed key
0,19,6693.7613,pressed key
0,19,7252.1515,pressed key
0,19,7819.722,pressed key
0,19,8282.5475,pressed key
0,19,9056.2226,pressed key
0,19,9523.2958,pressed key
0,19,9990.369,pressed key
0,19,10557.9745,pressed key
0,19,10946.8298,pressed key
0,19,11692.3822,pressed key
0,19,12155.2077,pressed key
0,19,12865.7632,pressed key
0,20,443.9362,pressed key
0,20,906.7617,pressed key
0,20,1373.8349,pressed key
0,20,2035.3695,pressed key
0,20,2531.7931,pressed key
0,20,3193.1775,pressed key
0,20,3660.2507,pressed key
0,20,4266.5752,pressed key
0,20,4802.2858,pressed key
0,20,5576.0264,pressed key
0,20,5989.7894,pressed key
0,20,6368.1178,pressed key
0,20,6746.4462,pressed key
0,20,7314.1193,pressed key
